startscan;ch1;ch2;ch3;ch4;ch5;ch6;status;
01.11.2018 19:40:02;990.67;981.24;519.38;323.97;232.74;782.76;4;
01.11.2018 19:50:01;856.36;1014.39;583.74;382.9;286.51;796.9;4;
01.11.2018 20:00:02;745.01;977.46;562.68;360.83;298.47;787.89;4;
01.11.2018 20:10:02;878.1;901.54;497.53;346.44;211.29;741.15;4;
01.11.2018 20:20:01;785.57;843.53;477.97;322.07;183.55;641.36;4;
01.11.2018 20:30:02;930.68;728.95;358.09;249.7;107.32;517.74;4;
01.11.2018 20:40:02;574.75;441.91;213.97;156.34;92.48;318.87;4;
01.11.2018 20:50:02;797.16;555.89;260.45;182.48;60.35;447.36;4;
01.11.2018 21:00:02;868.17;550.64;269.97;202.62;65.1;479.38;4;
01.11.2018 21:10:02;685.98;528.15;283.28;188.57;63.14;444.63;4;
01.11.2018 21:20:02;565.61;448.85;236.71;163.89;102.98;410.9;4;
01.11.2018 21:30:02;652.87;549.75;303.87;224.43;119.49;489.23;4;
01.11.2018 21:40:02;582.57;616.6;360.01;231.05;114.58;525.5;4;
01.11.2018 21:50:02;478.88;512.57;262.24;166.45;107.96;393.34;4;
01.11.2018 22:00:02;515.24;481.79;270.64;190.73;92.95;422.16;4;
01.11.2018 22:10:01;606.79;459.56;251.17;186.54;132.21;451.67;4;
01.11.2018 22:20:01;524.83;485.46;254.5;160.38;116.14;392.97;4;
01.11.2018 22:30:01;430.97;492.82;263.1;158.46;118.42;361.73;4;
01.11.2018 22:40:01;626.59;494.79;275.15;198.36;124.58;436.07;4;
01.11.2018 22:50:02;637.19;530.84;285.26;205.76;125.78;429.03;4;
01.11.2018 23:00:01;431.21;519.61;280.34;166.42;134.78;366.8;4;
01.11.2018 23:10:01;509.74;468.49;247.21;172.78;102.71;418.2;4;
01.11.2018 23:20:01;567.91;462.81;228.57;170.49;164.32;398.06;4;
01.11.2018 23:30:02;489.73;487.68;258.56;164.84;84.61;413.31;4;
01.11.2018 23:40:01;422.37;438.76;234.07;149.71;120.52;352.29;4;
01.11.2018 23:50:01;456.54;493.97;263.74;159.2;111.61;397.01;4;
